Match Type,Count
Verified Correct,1364220
Good Full Match,269058
Good Premise Partial,1952430
Tentative Full Match,173290
Multiple Match,4588
Poor Full Match,520
Partial Match,100248
Foreign Match,6956
Unmatched,17332
